slug_title,paid_only,frontend_id,title_en,difficulty,title_zh,id
exam-room,False,855,Exam Room,2,考场就座,885
k-similar-strings,False,854,K-Similar Strings,3,相似度为 K 的字符串,884
car-fleet,False,853,Car Fleet,2,车队,883
peak-index-in-a-mountain-array,False,852,Peak Index in a Mountain Array,1,山脉数组的峰顶索引,882
loud-and-rich,False,851,Loud and Rich,2,喧闹和富有,881
rectangle-area-ii,False,850,Rectangle Area II,3,矩形面积 II,880
maximize-distance-to-closest-person,False,849,Maximize Distance to Closest Person,1,到最近的人的最大距离,879
shifting-letters,False,848,Shifting Letters,2,字母移位,878
shortest-path-visiting-all-nodes,False,847,Shortest Path Visiting All Nodes,3,访问所有节点的最短路径,877
hand-of-straights,False,846,Hand of Straights,2,一手顺子,876
longest-mountain-in-array,False,845,Longest Mountain in Array,2,数组中的最长山脉,875
backspace-string-compare,False,844,Backspace String Compare,1,比较含退格的字符串,874
guess-the-word,False,843,Guess the Word,3,猜猜这个单词,873
split-array-into-fibonacci-sequence,False,842,Split Array into Fibonacci Sequence,2,将数组拆分成斐波那契序列,872
keys-and-rooms,False,841,Keys and Rooms,2,钥匙和房间,871
magic-squares-in-grid,False,840,Magic Squares In Grid,1,矩阵中的幻方,870
similar-string-groups,False,839,Similar String Groups,3,相似字符串组,869
push-dominoes,False,838,Push Dominoes,2,推多米诺,868
new-21-game,False,837,New 21 Game,2,新21点,867
rectangle-overlap,False,836,Rectangle Overlap,1,矩形重叠,866
image-overlap,False,835,Image Overlap,2,,864
sum-of-distances-in-tree,False,834,Sum of Distances in Tree,3,树中距离之和,863
find-and-replace-in-string,False,833,Find And Replace in String,2,,862
flipping-an-image,False,832,Flipping an Image,1,翻转图像,861
masking-personal-information,False,831,Masking Personal Information,2,,858
positions-of-large-groups,False,830,Positions of Large Groups,1,较大分组的位置,857
consecutive-numbers-sum,False,829,Consecutive Numbers Sum,2,连续整数求和,856
unique-letter-string,False,828,Unique Letter String,3,独特字符串,855
making-a-large-island,False,827,Making A Large Island,3,最大人工岛,854
most-profit-assigning-work,False,826,Most Profit Assigning Work,2,,853
friends-of-appropriate-ages,False,825,Friends Of Appropriate Ages,2,适龄的朋友,852
goat-latin,False,824,Goat Latin,1,山羊拉丁文,851
binary-trees-with-factors,False,823,Binary Trees With Factors,2,,843
card-flipping-game,False,822,Card Flipping Game,2,,842
shortest-distance-to-a-character,False,821,Shortest Distance to a Character,1,字符的最短距离,841
short-encoding-of-words,False,820,Short Encoding of Words,2,,839
most-common-word,False,819,Most Common Word,1,最常见的单词,837
race-car,False,818,Race Car,3,赛车,836
linked-list-components,False,817,Linked List Components,2,,835
ambiguous-coordinates,False,816,Ambiguous Coordinates,2,,834
bus-routes,False,815,Bus Routes,3,公交路线,833
binary-tree-pruning,False,814,Binary Tree Pruning,2,二叉树剪枝,832
largest-sum-of-averages,False,813,Largest Sum of Averages,2,最大平均值和的分组,831
largest-triangle-area,False,812,Largest Triangle Area,1,最大三角形面积,830
subdomain-visit-count,False,811,Subdomain Visit Count,1,子域名访问计数,829
chalkboard-xor-game,False,810,Chalkboard XOR Game,3,黑板异或游戏,828
expressive-words,False,809,Expressive Words,2,情感丰富的文字,827
soup-servings,False,808,Soup Servings,2,分汤,826
max-increase-to-keep-city-skyline,False,807,Max Increase to Keep City Skyline,2,保持城市天际线,825
number-of-lines-to-write-string,False,806,Number of Lines To Write String,1,写字符串需要的行数,824
split-array-with-same-average,False,805,Split Array With Same Average,3,数组的均值分割,823
unique-morse-code-words,False,804,Unique Morse Code Words,1,唯一摩尔斯密码词,822
bricks-falling-when-hit,False,803,Bricks Falling When Hit,3,打砖块,821
find-eventual-safe-states,False,802,Find Eventual Safe States,2,,820
minimum-swaps-to-make-sequences-increasing,False,801,Minimum Swaps To Make Sequences Increasing,2,使序列递增的最小交换次数,819
champagne-tower,False,799,Champagne Tower,2,香槟塔,815
smallest-rotation-with-highest-score,False,798,Smallest Rotation with Highest Score,3,,814
all-paths-from-source-to-target,False,797,All Paths From Source to Target,2,,813
rotate-string,False,796,Rotate String,1,旋转字符串,812
number-of-subarrays-with-bounded-maximum,False,795,Number of Subarrays with Bounded Maximum,2,区间子数组个数,811
valid-tic-tac-toe-state,False,794,Valid Tic-Tac-Toe State,2,有效的井字游戏,810
preimage-size-of-factorial-zeroes-function,False,793,Preimage Size of Factorial Zeroes Function,3,阶乘函数后K个零,809
number-of-matching-subsequences,False,792,Number of Matching Subsequences,2,匹配子序列的单词数,808
custom-sort-string,False,791,Custom Sort String,2,自定义字符串排序,807
domino-and-tromino-tiling,False,790,Domino and Tromino Tiling,2,,806
escape-the-ghosts,False,789,Escape The Ghosts,2,逃脱阻碍者,805
rotated-digits,False,788,Rotated Digits,1,旋转数字,804
cheapest-flights-within-k-stops,False,787,Cheapest Flights Within K Stops,2,K 站中转内最便宜的航班,803
k-th-smallest-prime-fraction,False,786,K-th Smallest Prime Fraction,3,,802
is-graph-bipartite,False,785,Is Graph Bipartite?,2,判断二分图,801
letter-case-permutation,False,784,Letter Case Permutation,1,字母大小写全排列,800
minimum-distance-between-bst-nodes,False,783,Minimum Distance Between BST Nodes,1,二叉搜索树结点最小距离,799
transform-to-chessboard,False,782,Transform to Chessboard,3,,798
rabbits-in-forest,False,781,Rabbits in Forest,2,森林中的兔子,797
reaching-points,False,780,Reaching Points,3,,796
k-th-symbol-in-grammar,False,779,K-th Symbol in Grammar,2,第K个语法符号,795
swim-in-rising-water,False,778,Swim in Rising Water,3,,794
swap-adjacent-in-lr-string,False,777,Swap Adjacent in LR String,2,在LR字符串中交换相邻字符,793
global-and-local-inversions,False,775,Global and Local Inversions,2,,790
sliding-puzzle,False,773,Sliding Puzzle,3,,787
jewels-and-stones,False,771,Jewels and Stones,1,宝石与石头,782
basic-calculator-iv,False,770,Basic Calculator IV,3,,781
max-chunks-to-make-sorted,False,769,Max Chunks To Make Sorted,2,最多能完成排序的块,780
max-chunks-to-make-sorted-ii,False,768,Max Chunks To Make Sorted II,3,最多能完成排序的块 II,779
reorganize-string,False,767,Reorganize String,2,重构字符串,778
toeplitz-matrix,False,766,Toeplitz Matrix,1,托普利茨矩阵,777
couples-holding-hands,False,765,Couples Holding Hands,3,情侣牵手,770
largest-plus-sign,False,764,Largest Plus Sign,2,,769
partition-labels,False,763,Partition Labels,2,划分字母区间,768
