question_frontend_id,tag_slug,tag_id,question_id
4,binary-search,7,4
29,binary-search,7,29
33,binary-search,7,33
34,binary-search,7,34
35,binary-search,7,35
50,binary-search,7,50
69,binary-search,7,69
74,binary-search,7,74
81,binary-search,7,81
270,binary-search,7,270
302,binary-search,7,302
349,binary-search,7,349
350,binary-search,7,350
354,binary-search,7,354
363,binary-search,7,363
367,binary-search,7,367
374,binary-search,7,374
378,binary-search,7,378
392,binary-search,7,392
410,binary-search,7,410
441,binary-search,7,441
436,binary-search,7,436
454,binary-search,7,454
475,binary-search,7,475
483,binary-search,7,483
644,binary-search,7,644
658,binary-search,7,658
668,binary-search,7,668
719,binary-search,7,719
718,binary-search,7,718
744,binary-search,7,745
774,binary-search,7,788
778,binary-search,7,794
786,binary-search,7,802
793,binary-search,7,809
153,binary-search,7,153
154,binary-search,7,154
162,binary-search,7,162
167,binary-search,7,167
174,binary-search,7,174
287,binary-search,7,287
209,binary-search,7,209
222,binary-search,7,222
275,binary-search,7,275
278,binary-search,7,278
300,binary-search,7,300
230,binary-search,7,230
240,binary-search,7,240
852,binary-search,7,882
3,two-pointers,8,3
11,two-pointers,8,11
15,two-pointers,8,15
16,two-pointers,8,16
18,two-pointers,8,18
19,two-pointers,8,19
26,two-pointers,8,26
27,two-pointers,8,27
28,two-pointers,8,28
30,two-pointers,8,30
42,two-pointers,8,42
61,two-pointers,8,61
75,two-pointers,8,75
76,two-pointers,8,76
80,two-pointers,8,80
86,two-pointers,8,86
88,two-pointers,8,88
125,two-pointers,8,125
141,two-pointers,8,141
142,two-pointers,8,142
159,two-pointers,8,159
344,two-pointers,8,344
345,two-pointers,8,345
349,two-pointers,8,349
350,two-pointers,8,350
360,two-pointers,8,360
487,two-pointers,8,487
524,two-pointers,8,524
532,two-pointers,8,532
567,two-pointers,8,567
632,two-pointers,8,632
713,two-pointers,8,713
723,two-pointers,8,723
763,two-pointers,8,768
826,two-pointers,8,853
828,two-pointers,8,855
167,two-pointers,8,167
287,two-pointers,8,287
259,two-pointers,8,259
209,two-pointers,8,209
234,two-pointers,8,234
844,two-pointers,8,874
845,two-pointers,8,875
283,two-pointers,8,283
5,dynamic-programming,2,5
10,dynamic-programming,2,10
32,dynamic-programming,2,32
44,dynamic-programming,2,44
53,dynamic-programming,2,53
62,dynamic-programming,2,62
63,dynamic-programming,2,63
64,dynamic-programming,2,64
70,dynamic-programming,2,70
72,dynamic-programming,2,72
85,dynamic-programming,2,85
87,dynamic-programming,2,87
91,dynamic-programming,2,91
95,dynamic-programming,2,95
96,dynamic-programming,2,96
97,dynamic-programming,2,97
115,dynamic-programming,2,115
120,dynamic-programming,2,120
121,dynamic-programming,2,121
123,dynamic-programming,2,123
132,dynamic-programming,2,132
139,dynamic-programming,2,139
140,dynamic-programming,2,140
188,dynamic-programming,2,188
256,dynamic-programming,2,256
265,dynamic-programming,2,265
276,dynamic-programming,2,276
338,dynamic-programming,2,338
343,dynamic-programming,2,343
351,dynamic-programming,2,351
354,dynamic-programming,2,354
357,dynamic-programming,2,357
361,dynamic-programming,2,361
363,dynamic-programming,2,363
368,dynamic-programming,2,368
375,dynamic-programming,2,375
376,dynamic-programming,2,376
377,dynamic-programming,2,377
392,dynamic-programming,2,392
403,dynamic-programming,2,403
410,dynamic-programming,2,410
471,dynamic-programming,2,471
413,dynamic-programming,2,413
416,dynamic-programming,2,416
418,dynamic-programming,2,418
446,dynamic-programming,2,446
464,dynamic-programming,2,464
514,dynamic-programming,2,514
466,dynamic-programming,2,466
467,dynamic-programming,2,467
474,dynamic-programming,2,474
472,dynamic-programming,2,472
494,dynamic-programming,2,494
523,dynamic-programming,2,523
486,dynamic-programming,2,486
546,dynamic-programming,2,546
638,dynamic-programming,2,638
516,dynamic-programming,2,516
517,dynamic-programming,2,517
600,dynamic-programming,2,600
552,dynamic-programming,2,552
664,dynamic-programming,2,664
656,dynamic-programming,2,656
568,dynamic-programming,2,568
576,dynamic-programming,2,576
629,dynamic-programming,2,629
647,dynamic-programming,2,647
639,dynamic-programming,2,639
646,dynamic-programming,2,646
650,dynamic-programming,2,650
651,dynamic-programming,2,651
673,dynamic-programming,2,673
688,dynamic-programming,2,688
689,dynamic-programming,2,689
691,dynamic-programming,2,691
698,dynamic-programming,2,698
714,dynamic-programming,2,714
712,dynamic-programming,2,712
718,dynamic-programming,2,718
727,dynamic-programming,2,727
730,dynamic-programming,2,730
740,dynamic-programming,2,740
741,dynamic-programming,2,741
750,dynamic-programming,2,751
746,dynamic-programming,2,747
764,dynamic-programming,2,769
787,dynamic-programming,2,803
790,dynamic-programming,2,806
801,dynamic-programming,2,819
808,dynamic-programming,2,826
813,dynamic-programming,2,831
818,dynamic-programming,2,836
152,dynamic-programming,2,152
174,dynamic-programming,2,174
322,dynamic-programming,2,322
198,dynamic-programming,2,198
213,dynamic-programming,2,213
221,dynamic-programming,2,221
264,dynamic-programming,2,264
847,dynamic-programming,2,877
279,dynamic-programming,2,279
300,dynamic-programming,2,300
303,dynamic-programming,2,303
304,dynamic-programming,2,304
309,dynamic-programming,2,309
312,dynamic-programming,2,312
321,dynamic-programming,2,321
3,string,3,3
5,string,3,5
6,string,3,6
10,string,3,10
12,string,3,12
13,string,3,13
14,string,3,14
17,string,3,17
20,string,3,20
22,string,3,22
28,string,3,28
30,string,3,30
32,string,3,32
38,string,3,38
43,string,3,43
44,string,3,44
49,string,3,49
58,string,3,58
65,string,3,65
67,string,3,67
68,string,3,68
71,string,3,71
72,string,3,72
76,string,3,76
87,string,3,87
91,string,3,91
93,string,3,93
97,string,3,97
115,string,3,115
125,string,3,125
126,string,3,126
151,string,3,151
157,string,3,157
158,string,3,158
159,string,3,159
161,string,3,161
165,string,3,165
186,string,3,186
249,string,3,249
271,string,3,271
273,string,3,273
293,string,3,293
336,string,3,336
340,string,3,340
344,string,3,344
345,string,3,345
383,string,3,383
385,string,3,385
387,string,3,387
408,string,3,408
443,string,3,443
434,string,3,434
772,string,3,785
459,string,3,459
468,string,3,468
544,string,3,544
520,string,3,520
521,string,3,521
522,string,3,522
537,string,3,537
539,string,3,539
527,string,3,527
541,string,3,541
536,string,3,536
606,string,3,606
556,string,3,556
551,string,3,551
553,string,3,553
583,string,3,583
555,string,3,555
557,string,3,557
564,string,3,564
591,string,3,591
616,string,3,616
609,string,3,609
635,string,3,635
647,string,3,647
632,string,3,632
657,string,3,657
678,string,3,678
680,string,3,680
681,string,3,681
686,string,3,686
696,string,3,696
722,string,3,722
730,string,3,730
736,string,3,736
758,string,3,760
761,string,3,763
770,string,3,781
767,string,3,778
788,string,3,804
791,string,3,807
800,string,3,818
809,string,3,827
819,string,3,837
816,string,3,834
8,string,3,8
824,string,3,851
831,string,3,858
842,string,3,872
214,string,3,214
227,string,3,227
848,string,3,878
94,tree,5,94
95,tree,5,95
96,tree,5,96
98,tree,5,98
99,tree,5,99
100,tree,5,100
101,tree,5,101
102,tree,5,102
103,tree,5,103
104,tree,5,104
105,tree,5,105
106,tree,5,106
107,tree,5,107
108,tree,5,108
110,tree,5,110
111,tree,5,111
112,tree,5,112
113,tree,5,113
114,tree,5,114
116,tree,5,116
117,tree,5,117
124,tree,5,124
129,tree,5,129
144,tree,5,144
145,tree,5,145
156,tree,5,156
173,tree,5,173
250,tree,5,250
255,tree,5,255
270,tree,5,270
272,tree,5,272
285,tree,5,285
298,tree,5,298
333,tree,5,333
337,tree,5,337
366,tree,5,366
404,tree,5,404
437,tree,5,437
572,tree,5,572
449,tree,5,449
450,tree,5,450
501,tree,5,501
515,tree,5,515
508,tree,5,508
513,tree,5,513
543,tree,5,543
549,tree,5,549
538,tree,5,538
536,tree,5,536
606,tree,5,606
545,tree,5,545
666,tree,5,666
623,tree,5,623
653,tree,5,653
582,tree,5,582
563,tree,5,563
617,tree,5,617
637,tree,5,637
655,tree,5,655
654,tree,5,654
663,tree,5,663
662,tree,5,662
669,tree,5,669
671,tree,5,671
684,tree,5,684
685,tree,5,685
687,tree,5,687
742,tree,5,743
814,tree,5,832
199,tree,5,199
222,tree,5,222
226,tree,5,226
235,tree,5,235
257,tree,5,257
297,tree,5,297
230,tree,5,230
652,tree,5,652
236,tree,5,236
10,backtracking,10,10
17,backtracking,10,17
22,backtracking,10,22
37,backtracking,10,37
39,backtracking,10,39
40,backtracking,10,40
44,backtracking,10,44
46,backtracking,10,46
47,backtracking,10,47
51,backtracking,10,51
52,backtracking,10,52
60,backtracking,10,60
77,backtracking,10,77
78,backtracking,10,78
79,backtracking,10,79
90,backtracking,10,90
93,backtracking,10,93
126,backtracking,10,126
131,backtracking,10,131
140,backtracking,10,140
254,backtracking,10,254
267,backtracking,10,267
291,backtracking,10,291
294,backtracking,10,294
320,backtracking,10,320
351,backtracking,10,351
357,backtracking,10,357
401,backtracking,10,401
411,backtracking,10,411
425,backtracking,10,425
526,backtracking,10,526
691,backtracking,10,691
784,backtracking,10,800
306,backtracking,10,306
211,backtracking,10,211
212,backtracking,10,212
216,backtracking,10,216
89,backtracking,10,89
101,breadth-first-search,9,101
102,breadth-first-search,9,102
103,breadth-first-search,9,103
107,breadth-first-search,9,107
111,breadth-first-search,9,111
126,breadth-first-search,9,126
127,breadth-first-search,9,127
130,breadth-first-search,9,130
133,breadth-first-search,9,133
286,breadth-first-search,9,286
317,breadth-first-search,9,317
323,breadth-first-search,9,323
407,breadth-first-search,9,407
417,breadth-first-search,9,417
490,breadth-first-search,9,490
499,breadth-first-search,9,499
505,breadth-first-search,9,505
515,breadth-first-search,9,515
513,breadth-first-search,9,513
542,breadth-first-search,9,542
529,breadth-first-search,9,529
690,breadth-first-search,9,690
675,breadth-first-search,9,675
743,breadth-first-search,9,744
752,breadth-first-search,9,753
773,breadth-first-search,9,787
785,breadth-first-search,9,801
787,breadth-first-search,9,803
815,breadth-first-search,9,833
301,breadth-first-search,9,301
261,breadth-first-search,9,261
207,breadth-first-search,9,207
200,breadth-first-search,9,200
199,breadth-first-search,9,199
210,breadth-first-search,9,210
847,breadth-first-search,9,877
279,breadth-first-search,9,279
310,breadth-first-search,9,310
854,breadth-first-search,9,884
146,design,12,146
155,design,12,155
170,design,12,170
173,design,12,173
244,design,12,244
251,design,12,251
288,design,12,288
341,design,12,341
346,design,12,346
348,design,12,348
353,design,12,353
355,design,12,355
359,design,12,359
362,design,12,362
379,design,12,379
380,design,12,380
381,design,12,381
432,design,12,432
460,design,12,460
604,design,12,604
588,design,12,588
642,design,12,642
635,design,12,635
631,design,12,631
716,design,12,716
208,design,12,208
211,design,12,211
225,design,12,225
232,design,12,232
281,design,12,281
295,design,12,295
297,design,12,297
284,design,12,284
2,math,4,2
7,math,4,7
9,math,4,9
12,math,4,12
13,math,4,13
29,math,4,29
43,math,4,43
50,math,4,50
60,math,4,60
65,math,4,65
66,math,4,66
67,math,4,67
69,math,4,69
149,math,4,149
231,math,4,231
246,math,4,246
247,math,4,247
248,math,4,248
273,math,4,273
296,math,4,296
335,math,4,335
343,math,4,343
356,math,4,356
357,math,4,357
360,math,4,360
365,math,4,365
367,math,4,367
368,math,4,368
372,math,4,372
396,math,4,396
397,math,4,397
400,math,4,400
535,math,4,535
413,math,4,413
441,math,4,441
415,math,4,415
423,math,4,423
453,math,4,453
462,math,4,462
628,math,4,628
469,math,4,469
523,math,4,523
483,math,4,483
507,math,4,507
517,math,4,517
537,math,4,537
625,math,4,625
553,math,4,553
573,math,4,573
593,math,4,593
592,math,4,592
598,math,4,598
633,math,4,633
634,math,4,634
640,math,4,640
645,math,4,645
98,depth-first-search,6,98
99,depth-first-search,6,99
100,depth-first-search,6,100
101,depth-first-search,6,101
104,depth-first-search,6,104
105,depth-first-search,6,105
106,depth-first-search,6,106
108,depth-first-search,6,108
109,depth-first-search,6,109
110,depth-first-search,6,110
111,depth-first-search,6,111
112,depth-first-search,6,112
113,depth-first-search,6,113
114,depth-first-search,6,114
651,math,4,651
660,math,4,660
670,math,4,670
672,math,4,672
728,math,4,728
753,math,4,754
754,math,4,755
775,math,4,790
780,math,4,796
782,math,4,798
781,math,4,797
789,math,4,805
794,math,4,810
800,math,4,818
810,math,4,828
812,math,4,830
8,math,4,8
829,math,4,856
166,math,4,166
168,math,4,168
171,math,4,171
116,depth-first-search,6,116
117,depth-first-search,6,117
124,depth-first-search,6,124
129,depth-first-search,6,129
130,depth-first-search,6,130
133,depth-first-search,6,133
323,depth-first-search,6,323
332,depth-first-search,6,332
337,depth-first-search,6,337
339,depth-first-search,6,339
364,depth-first-search,6,364
366,depth-first-search,6,366
394,depth-first-search,6,394
417,depth-first-search,6,417
439,depth-first-search,6,439
514,depth-first-search,6,514
472,depth-first-search,6,472
473,depth-first-search,6,473
494,depth-first-search,6,494
491,depth-first-search,6,491
488,depth-first-search,6,488
490,depth-first-search,6,490
172,math,4,172
204,math,4,204
202,math,4,202
223,math,4,223
224,math,4,224
233,math,4,233
258,math,4,258
263,math,4,263
264,math,4,264
268,math,4,268
279,math,4,279
313,math,4,313
319,math,4,319
326,math,4,326
499,depth-first-search,6,499
505,depth-first-search,6,505
515,depth-first-search,6,515
546,depth-first-search,6,546
513,depth-first-search,6,513
638,depth-first-search,6,638
542,depth-first-search,6,542
529,depth-first-search,6,529
531,depth-first-search,6,531
533,depth-first-search,6,533
547,depth-first-search,6,547
664,depth-first-search,6,664
576,depth-first-search,6,576
690,depth-first-search,6,690
679,depth-first-search,6,679
685,depth-first-search,6,685
695,depth-first-search,6,695
694,depth-first-search,6,694
711,depth-first-search,6,711
721,depth-first-search,6,721
733,depth-first-search,6,733
44,greedy,13,44
45,greedy,13,45
55,greedy,13,55
122,greedy,13,122
134,greedy,13,134
135,greedy,13,135
253,greedy,13,253
358,greedy,13,358
376,greedy,13,376
392,greedy,13,392
402,greedy,13,402
406,greedy,13,406
452,greedy,13,452
435,greedy,13,435
455,greedy,13,455
484,greedy,13,484
502,greedy,13,502
649,greedy,13,649
737,depth-first-search,6,737
743,depth-first-search,6,744
749,depth-first-search,6,750
753,depth-first-search,6,754
756,depth-first-search,6,757
778,depth-first-search,6,794
785,depth-first-search,6,801
802,depth-first-search,6,820
827,depth-first-search,6,854
841,depth-first-search,6,871
301,depth-first-search,6,301
261,depth-first-search,6,261
207,depth-first-search,6,207
200,depth-first-search,6,200
199,depth-first-search,6,199
210,depth-first-search,6,210
257,depth-first-search,6,257
329,depth-first-search,6,329
851,depth-first-search,6,881
630,greedy,13,630
621,greedy,13,621
651,greedy,13,651
659,greedy,13,659
714,greedy,13,714
738,greedy,13,738
757,greedy,13,759
759,greedy,13,761
763,greedy,13,768
765,greedy,13,770
767,greedy,13,778
842,greedy,13,872
316,greedy,13,316
321,greedy,13,321
330,greedy,13,330
1,array,1,1
4,array,1,4
11,array,1,11
15,array,1,15
16,array,1,16
18,array,1,18
26,array,1,26
27,array,1,27
31,array,1,31
33,array,1,33
34,array,1,34
35,array,1,35
39,array,1,39
40,array,1,40
41,array,1,41
42,array,1,42
45,array,1,45
48,array,1,48
53,array,1,53
54,array,1,54
55,array,1,55
56,array,1,56
57,array,1,57
59,array,1,59
62,array,1,62
63,array,1,63
64,array,1,64
66,array,1,66
73,array,1,73
74,array,1,74
75,array,1,75
78,array,1,78
79,array,1,79
80,array,1,80
81,array,1,81
84,array,1,84
85,array,1,85
88,array,1,88
90,array,1,90
105,array,1,105
106,array,1,106
118,array,1,118
119,array,1,119
120,array,1,120
121,array,1,121
122,array,1,122
123,array,1,123
126,array,1,126
128,array,1,128
163,array,1,163
189,array,1,189
243,array,1,243
245,array,1,245
277,array,1,277
370,array,1,370
380,array,1,380
381,array,1,381
414,array,1,414
442,array,1,442
448,array,1,448
628,array,1,628
485,array,1,485
495,array,1,495
643,array,1,643
644,array,1,644
531,array,1,531
532,array,1,532
533,array,1,533
548,array,1,548
561,array,1,561
566,array,1,566
560,array,1,560
562,array,1,562
565,array,1,565
621,array,1,621
624,array,1,624
605,array,1,605
581,array,1,581
611,array,1,611
665,array,1,665
661,array,1,661
670,array,1,670
667,array,1,667
674,array,1,674
683,array,1,683
689,array,1,689
695,array,1,695
697,array,1,697
714,array,1,714
78,bit-manipulation,14,78
136,bit-manipulation,14,136
137,bit-manipulation,14,137
187,bit-manipulation,14,187
190,bit-manipulation,14,190
191,bit-manipulation,14,191
231,bit-manipulation,14,231
320,bit-manipulation,14,320
338,bit-manipulation,14,338
342,bit-manipulation,14,342
371,bit-manipulation,14,371
389,bit-manipulation,14,389
393,bit-manipulation,14,393
397,bit-manipulation,14,397
401,bit-manipulation,14,401
405,bit-manipulation,14,405
713,array,1,713
715,array,1,715
717,array,1,717
719,array,1,719
718,array,1,718
723,array,1,723
724,array,1,724
729,array,1,729
731,array,1,731
746,array,1,747
747,array,1,748
755,array,1,756
766,array,1,777
768,array,1,779
769,array,1,780
775,array,1,790
782,array,1,798
792,array,1,808
795,array,1,811
825,array,1,852
830,array,1,857
411,bit-manipulation,14,411
421,bit-manipulation,14,421
461,bit-manipulation,14,461
477,bit-manipulation,14,477
476,bit-manipulation,14,476
693,bit-manipulation,14,693
751,bit-manipulation,14,752
756,bit-manipulation,14,757
762,bit-manipulation,14,767
784,bit-manipulation,14,800
169,bit-manipulation,14,169
201,bit-manipulation,14,201
260,bit-manipulation,14,260
268,bit-manipulation,14,268
318,bit-manipulation,14,318
152,array,1,152
153,array,1,153
154,array,1,154
162,array,1,162
167,array,1,167
169,array,1,169
835,array,1,864
217,array,1,217
840,array,1,870
287,array,1,287
259,array,1,259
209,array,1,209
216,array,1,216
219,array,1,219
228,array,1,228
229,array,1,229
238,array,1,238
268,array,1,268
280,array,1,280
283,array,1,283
289,array,1,289
849,array,1,879
20,stack,11,20
42,stack,11,42
71,stack,11,71
84,stack,11,84
85,stack,11,85
94,stack,11,94
103,stack,11,103
144,stack,11,144
145,stack,11,145
150,stack,11,150
155,stack,11,155
173,stack,11,173
255,stack,11,255
272,stack,11,272
341,stack,11,341
385,stack,11,385
394,stack,11,394
402,stack,11,402
439,stack,11,439
772,stack,11,785
456,stack,11,456
496,stack,11,496
503,stack,11,503
591,stack,11,591
636,stack,11,636
682,stack,11,682
726,stack,11,726
735,stack,11,735
739,stack,11,739
770,stack,11,781
224,stack,11,224
225,stack,11,225
232,stack,11,232
844,stack,11,874
316,stack,11,316
331,stack,11,331
853,stack,11,883
23,heap,17,23
253,heap,17,253
347,heap,17,347
355,heap,17,355
358,heap,17,358
373,heap,17,373
378,heap,17,378
407,heap,17,407
451,heap,17,451
502,heap,17,502
659,heap,17,659
692,heap,17,692
719,heap,17,719
743,heap,17,744
759,heap,17,761
767,heap,17,778
56,sort,18,56
57,sort,18,57
75,sort,18,75
147,sort,18,147
148,sort,18,148
252,sort,18,252
253,sort,18,253
296,sort,18,296
349,sort,18,349
350,sort,18,350
524,sort,18,524
527,sort,18,527
767,sort,18,778
164,sort,18,164
179,sort,18,179
242,sort,18,242
274,sort,18,274
280,sort,18,280
324,sort,18,324
778,heap,17,794
786,heap,17,802
787,heap,17,803
818,heap,17,836
215,heap,17,215
218,heap,17,218
239,heap,17,239
264,heap,17,264
295,heap,17,295
313,heap,17,313
133,graph,19,133
269,graph,19,269
323,graph,19,323
332,graph,19,332
399,graph,19,399
444,graph,19,444
684,graph,19,684
685,graph,19,685
743,graph,19,744
765,graph,19,770
785,graph,19,801
802,graph,19,820
841,graph,19,871
261,graph,19,261
207,graph,19,207
210,graph,19,210
310,graph,19,310
854,graph,19,884
4,divide-and-conquer,20,4
23,divide-and-conquer,20,23
53,divide-and-conquer,20,53
514,divide-and-conquer,20,514
493,divide-and-conquer,20,493
169,divide-and-conquer,20,169
215,divide-and-conquer,20,215
218,divide-and-conquer,20,218
241,divide-and-conquer,20,241
282,divide-and-conquer,20,282
312,divide-and-conquer,20,312
315,divide-and-conquer,20,315
327,divide-and-conquer,20,327
240,divide-and-conquer,20,240
336,trie,21,336
421,trie,21,421
425,trie,21,425
472,trie,21,472
642,trie,21,642
648,trie,21,648
676,trie,21,676
677,trie,21,677
692,trie,21,692
720,trie,21,720
745,trie,21,746
208,trie,21,208
211,trie,21,211
212,trie,21,212
2,linked-list,16,2
19,linked-list,16,19
21,linked-list,16,21
23,linked-list,16,23
24,linked-list,16,24
25,linked-list,16,25
61,linked-list,16,61
82,linked-list,16,82
83,linked-list,16,83
86,linked-list,16,86
92,linked-list,16,92
109,linked-list,16,109
138,linked-list,16,138
141,linked-list,16,141
142,linked-list,16,142
143,linked-list,16,143
147,linked-list,16,147
148,linked-list,16,148
160,linked-list,16,160
369,linked-list,16,369
379,linked-list,16,379
445,linked-list,16,445
725,linked-list,16,725
817,linked-list,16,835
328,linked-list,16,328
206,linked-list,16,206
203,linked-list,16,203
234,linked-list,16,234
237,linked-list,16,237
128,union-find,22,128
130,union-find,22,130
305,union-find,22,305
323,union-find,22,323
547,union-find,22,547
684,union-find,22,684
685,union-find,22,685
721,union-find,22,721
737,union-find,22,737
765,union-find,22,770
778,union-find,22,794
803,union-find,22,821
261,union-find,22,261
200,union-find,22,200
352,binary-search-tree,23,352
493,binary-search-tree,23,493
530,binary-search-tree,23,530
683,binary-search-tree,23,683
699,binary-search-tree,23,699
715,binary-search-tree,23,715
731,binary-search-tree,23,731
732,binary-search-tree,23,732
776,binary-search-tree,23,791
783,binary-search-tree,23,799
220,binary-search-tree,23,220
315,binary-search-tree,23,315
327,binary-search-tree,23,327
247,recursion,24,247
248,recursion,24,248
544,recursion,24,544
625,recursion,24,625
687,recursion,24,687
698,recursion,24,698
726,recursion,24,726
761,recursion,24,763
779,recursion,24,795
794,recursion,24,810
308,binary-indexed-tree,26,308
493,binary-indexed-tree,26,493
218,binary-indexed-tree,26,218
307,binary-indexed-tree,26,307
315,binary-indexed-tree,26,315
346,queue,27,346
353,queue,27,353
363,queue,27,363
582,queue,27,582
621,queue,27,621
308,segment-tree,25,308
493,segment-tree,25,493
699,segment-tree,25,699
715,segment-tree,25,715
732,segment-tree,25,732
218,segment-tree,25,218
307,segment-tree,25,307
315,segment-tree,25,315
850,segment-tree,25,880
269,topological-sort,28,269
444,topological-sort,28,444
207,topological-sort,28,207
210,topological-sort,28,210
329,topological-sort,28,329
375,minimax,29,375
464,minimax,29,464
486,minimax,29,486
843,minimax,29,873
777,brainteaser,30,793
292,brainteaser,30,292
319,brainteaser,30,319
846,map,31,876
855,map,31,885
1,hash-table,15,1
3,hash-table,15,3
18,hash-table,15,18
30,hash-table,15,30
36,hash-table,15,36
37,hash-table,15,37
49,hash-table,15,49
76,hash-table,15,76
85,hash-table,15,85
94,hash-table,15,94
136,hash-table,15,136
138,hash-table,15,138
149,hash-table,15,149
159,hash-table,15,159
170,hash-table,15,170
187,hash-table,15,187
244,hash-table,15,244
246,hash-table,15,246
249,hash-table,15,249
266,hash-table,15,266
288,hash-table,15,288
311,hash-table,15,311
314,hash-table,15,314
325,hash-table,15,325
336,hash-table,15,336
340,hash-table,15,340
347,hash-table,15,347
349,hash-table,15,349
350,hash-table,15,350
355,hash-table,15,355
356,hash-table,15,356
358,hash-table,15,358
359,hash-table,15,359
380,hash-table,15,380
381,hash-table,15,381
387,hash-table,15,387
389,hash-table,15,389
329,memoization,34,329
409,hash-table,15,409
500,hash-table,15,500
535,hash-table,15,535
438,hash-table,15,438
447,hash-table,15,447
451,hash-table,15,451
454,hash-table,15,454
463,hash-table,15,463
508,hash-table,15,508
525,hash-table,15,525
554,hash-table,15,554
560,hash-table,15,560
575,hash-table,15,575
624,hash-table,15,624
594,hash-table,15,594
609,hash-table,15,609
599,hash-table,15,599
632,hash-table,15,632
645,hash-table,15,645
587,geometry,33,587
648,hash-table,15,648
690,hash-table,15,690
676,hash-table,15,676
692,hash-table,15,692
694,hash-table,15,694
711,hash-table,15,711
718,hash-table,15,718
720,hash-table,15,720
726,hash-table,15,726
734,hash-table,15,734
739,hash-table,15,739
748,hash-table,15,749
760,hash-table,15,762
770,hash-table,15,781
771,hash-table,15,782
781,hash-table,15,797
811,hash-table,15,829
166,hash-table,15,166
217,hash-table,15,217
205,hash-table,15,205
204,hash-table,15,204
382,reservoir-sampling,32,382
398,reservoir-sampling,32,398
202,hash-table,15,202
219,hash-table,15,219
242,hash-table,15,242
274,hash-table,15,274
290,hash-table,15,290
299,hash-table,15,299
